type	x	y	z	tag	br
DCP	-292	1867	21.5	2	1
DCP	-275	1833	21.5	2	1
DCP	-312	1842	21.5	2	1
DCP	-307	1788	21.5	2	1
DCP	-327	1797	21.5	2	1
DCP	-370	1794	21.5	2	1
DCP	-310	1916	21.5	2	1
DCP	-365	1911	21.5	2	1
DCP	-362	1963	21.5	2	1
DCP	-219	1976	26	2	1
DCP	-187	1948	26	2	1
DCP	-168	1964	26	2	1
DCP	-138	1949	26	2	1
DCP	-186	2006	26	2	1
DCP	-235	2005	26	2	1
DCP	-332	2007	26	2	1
DCP	-240	2061	28.5	2	1
DCP	-212	2067	28.5	2	1
DCP	-160	2037	28.5	2	1
DCP	-144	2062	28.5	2	1
DCP	-265	2048	28.5	2	1
DCP	-274	2056	28.5	2	1
DCP	-365	2019	28.5	2	1
DCP	-332	2082	28.5	2	1
DCP	-368	2089	28.5	2	1
DCP	-339	2110	28.5	2	1
DCP	-311	2151	25	2	1
DCP	-272	2130	25	2	1
DCP	-210	2163	25	2	1
DCP	-170	2156	25	2	1
DCP	-159	2169	25	2	1
DCP	-134	2156	25	2	1
DCP	-169	2187	25	2	1
DCP	-268	2181	25	2	1
DCP	-268	2203	25	2	1
DCP	-362	2187	25	2	1
DCP	-211	2242	25	2	1
DCP	-133	2246	25	2	1
DCP	-151	2261.5	25	2	1
DCP	-255	2264.5	25	2	1
DCP	-299	2295.5	25	2	1
DCP	-328	2288.5	25	2	1
DCP	-356	2263.5	25	2	1
DCP	-334	2340.5	25	2	1
DCP	-352	2368.5	25	2	1
DCP	-274	2361.5	25	2	1
DCP	-251	2359.5	25	2	1
DCP	-212	2360.5	25	2	1
DCP	-186	2384.5	25	2	1
DCP	-144	2377.5	25	2	1
DCP	-175	2423.5	25	2	1
DCP	-145	2443.5	25	2	1
DCP	-159	2486.5	25	2	1
DCP	-228	2495.5	25	2	1
DCP	-221	2440.5	25	2	1
DCP	-257	2441.5	25	2	1
DCP	-282	2428.5	25	2	1
DCP	-286	2411.5	25	2	1
DCP	-321	2438.5	25	2	1
DCP	-335	2454.5	25	2	1
DCP	-295	2522.5	25	2	1
DCP	-252	2556.5	22	2	1
DCP	-293	2561.5	22	2	1
DCP	-209	2524.5	22	2	1
DCP	-138	2530.5	22	2	1
DCP	-148	2579.5	22	2	1
DCP	-192	2601.5	22	2	1
DCP	-240	2596.5	22	2	1
DCP	-300	2631.5	22	2	1
DCP	-337	2591.5	22	2	1
DCP	-342	2601.5	22	2	1
DCP	-373	2594.5	22	2	1
DCP	-354	2664.5	22	2	1
DCP	-313	2713.5	22	2	1
DCP	-318	2739.5	22	2	1
DCP	-256	2685.5	22	2	1
DCP	-224	2662.5	22	2	1
DCP	-190	2649.5	22	2	1
DCP	-141	2658.5	22	2	1
DCP	-172	2731.5	22	2	1
DCP	-212	2715.5	22	2	1
DCP	-180	2770.5	22	2	1
DCP	-151	2820.5	22	2	1
DCP	-217	2793.5	22	2	1
DCP	-264	2779.5	22	2	1
DCP	-239	2813.5	22	2	1
DCP	-312	2811.5	22	2	1
DCP	-364	2764.5	22	2	1
DCP	-367	2827.5	22	2	1
DCP	-319	2912.5	22	2	1
DCP	-306	2949.5	22	2	1
DCP	-252	2941.5	22	2	1
DCP	-239	2990.5	22	2	1
DCP	-191	2988.5	22	2	1
DCP	-169	2921.5	22	2	1
DCP	-190	2870.5	22	2	1
DCP	-154	2844.5	22	2	1
DCP	-185	3027.5	22	2	1
DCP	-164	3038.5	22	2	1
DCP	-248	3051.5	19	2	1
DCP	-255	3063.5	19	2	1
DCP	-322	3061.5	19	2	1
DCP	-333	3029.5	19	2	1
DCP	-337	3157.5	19	2	1
DCP	-362	3185.5	19	2	1
DCP	-359	3243.5	19	2	1
DCP	-330	3252.5	19	2	1
DCP	-267	3227.5	19	2	1
DCP	-213	3245.5	19	2	1
DCP	-193	3198.5	19	2	1
DCP	-180	3193.5	19	2	1
DCP	-207	3141.5	19	2	1
DCP	-272	3147.5	19	2	1
DCP	-188	3117.5	19	2	1
DCP	-154	3113.5	19	2	1
DCP	-126	3124.5	19	2	1
DCP	-145	3273	19	2	1
DCP	-154	3280	19	2	1
DCP	-197	3295	19	2	1
DCP	-203	3359	19	2	1
DCP	-135	3345	19	2	1
DCP	-267	3340	19	2	1
DCP	-275	3382	19	2	1
DCP	-325	3383	19	2	1
DCP	-370	3356	19	2	1
DCP	-357	3285	19	2	1
DCP	-298	3454	19	2	1
DCP	-352	3454	19	2	1
DCP	-193	3446	19	2	1
DCP	-155	3426	19	2	1
DCP	-166	3400	19	2	1
DCP	-228	3396	19	2	1
DCP	-184	3489	19	2	1
DCP	-166	3489	19	2	1
DCP	-287	3503	19	2	1
DCP	-202	3516	19	2	1
DCP	-213	3520	19	2	1
DCP	-255	3564	19	2	1
DCP	-307	3567	19	2	1
DCP	-330	3561	19	2	1
DCP	-338	3617	19	2	1
DCP	-350	3623	19	2	1
DCP	-240	3626	19	2	1
DCP	-239	3665	19	2	1
DCP	-280	3671	19	2	1
DCP	-242	3699	23.5	2	1
DCP	-324	3696	23.5	2	1
DCP	-180	3718	23.5	2	1
DCP	-133	3717	23.5	2	1
DCP	-149	3638	23.5	2	1
DCP	-141	3567	23.5	2	1
DCP	-204	3798	23.5	2	1
DCP	-197	3823	23.5	2	1
DCP	-245	3741	23.5	2	1
DCP	-285	3771	23.5	2	1
DCP	-339	3787	23.5	2	1
DCP	-347	3822	28.5	2	1
DCP	-271	3823	7.5	2	1
DCP	-272	3844	7.5	2	1
DCP	-174	3873	7.5	2	1
DCP	-134	3875	7.5	2	1
DCP	-317	3886	7.5	2	1
DCP	-300	3930	7.5	2	1
DCP	-258	3920	7.5	2	1
DCP	-222	3958	7.5	2	1
DCP	-344	3972	7.5	2	1
DCP	-184	3996.5	12	2	1
DCP	-231	3997.5	15.5	2	1
DCP	-266	4016.5	15.5	2	1
DCP	-321	4007.5	15.5	2	1
DCP	-373	4011.5	15.5	2	1
DCP	-190	4036.5	15.5	2	1
DCP	-218	4059.5	15.5	2	1
DCP	-327	4076.5	9	2	1
DCP	-368	4109.5	6.5	2	1
DCP	-347	4156.5	6.5	2	1
DCP	-305	4131.5	6.5	2	1
DCP	-257	4127.5	6.5	2	1
DCP	-251	4108.5	6.5	2	1
DCP	-149	4098.5	6.5	2	1
DCP	-180	4146.5	6.5	2	1
DCP	-169	4182.5	9	2	1
DCP	-225	4232.5	9	2	1
DCP	-312	4227.5	9	2	1
DCP	-335	4232.5	9	2	1
DCP	-342	4227.5	9	2	1
DCP	-206	4248.5	8.5	2	1
DCP	-155	4260.5	8.5	2	1
DCP	-312	4290.5	1.5	2	1
DCP	-351	4306.5	-4	2	1
DCP	-363	4387.5	-4	2	1
DCP	-363	4401.5	-4	2	1
DCP	-295	4450.5	-4	2	1
DCP	-275	4385.5	-4	2	1
DCP	-273	4358.5	-4	2	1
DCP	-244	4306.5	-4	2	1
DCP	-213	4375.5	-4	2	1
DCP	-129	4395.5	0.5	2	1
DCP	-216	4459.5	0.5	2	1
DCP	-135	4467	0.5	2	1
DCP	-142	4491	0.5	2	1
DCP	-221	4481	0.5	2	1
DCP	-263	4490	0.5	2	1
DCP	-319	4487	0.5	2	1
DCP	-309	4520	0.5	2	1
DCP	-306	4588	0.5	2	1
DCP	-329	4598	-1.5	2	1
DCP	-300	4638	-1.5	2	1
DCP	-360	4686	-1.5	2	1
DCP	-334	4691	-1.5	2	1
DCP	-234	4676	-9	2	1
DCP	-244	4620	-9	2	1
DCP	-214	4640	-9	2	1
DCP	-214	4564	-1.5	2	1
DCP	-198	4593	-1.5	2	1
DCP	-171	4603	-1.5	2	1
DCP	-138	4661	-1.5	2	1
DCP	-171	4685	-1.5	2	1
DCP	-261	4742.5	0	2	1
DCP	-258	4754.5	0	2	1
DCP	-269	4807.5	-4.5	2	1
DCP	-229	4839.5	-4.5	2	1
DCP	-201	4843.5	-1	2	1
DCP	-198	4793.5	-1	2	1
DCP	-205	4753.5	-1	2	1
DCP	-156	4789.5	5	2	1
DCP	-157	4832.5	5	2	1
DCP	-321	4827.5	-1	2	1
DCP	-371	4839.5	-1	2	1
DCP	-283	4904.5	-1	2	1
DCP	-175	4954.5	-1	2	1
DCP	-205	4956.5	-1	2	1
DCP	-263	4965.5	-1	2	1
DCP	-288	4951.5	-1	2	1
DCP	-348	4958.5	-1	2	1
DCP	-323	5033.5	2	2	1
